                    name                     | num_files |        size_mib        | num_empty |    median_kib    |        avg_kib         | largest_mib | longst_path 
 t1-x31a3-kopia-cache                        |      2192 |  1189.7702112197875977 |         1 |     3.1669921875 |   555.8050621756671992 |          77 |         117
 t1-x31a3-kopia-target                       |      4643 |     44558.708458900452 |         0 |        0.0078125 |  9827.2921520383507432 |          27 |          66
 t1-x31ec-borg-cache                         |         8 |    95.0535421371459961 |         0 |     0.1298828125 |     12166.853393554688 |          63 |         109
 t1-x31ec-borg-target                        |       176 |     25721.880479812622 |         0 |     0.0166015625 |    149654.577337091621 |         503 |          41
 t1-x31ec-bupstash-cache                     |         3 |    28.0195350646972656 |         0 |               24 |  9564.0013020833333330 |          27 |          48
 t1-x31ec-bupstash-target                    |     55103 |     28443.794628143311 |         1 |       193.140625 |   528.5818503387973428 |           8 |         101
 t1-x31ec-jmbb-target                        |      1435 |     28396.024147033691 |         0 |    20294.1171875 |     20263.086220601045 |         372 |          73
 t1-x31ec-kopia-cache                        |      2201 |  1260.7274379730224609 |         1 |      3.177734375 |   586.5447053541004092 |          77 |         117
 t1-x31ec-kopia-target                       |      4724 |     45296.882927894592 |         0 |        0.0078125 |  9818.7993476215204277 |          27 |          66
 t1-x323b-borg-cache                         |         8 |    95.4449577331542969 |         0 |     0.1298828125 |     12216.954589843750 |          63 |         109
 t1-x323b-borg-target                        |       182 |     26604.435426712036 |         0 |     0.0166015625 |    149686.493829412773 |         503 |          41
 t1-x323b-bupstash-cache                     |         3 |    28.2890663146972656 |         0 |               24 |  9656.0013020833333330 |          28 |          48
 t1-x323b-bupstash-target                    |     56138 |     29328.282613754272 |         1 |  199.52783203125 |   534.9702767552170547 |           8 |         101
 t1-x323b-jmbb-target                        |      1470 |     29232.869260787964 |         0 |     20317.265625 |     20363.576954453656 |         372 |          73
 t1-x323b-kopia-cache                        |      2208 |  1326.2954988479614258 |         1 |     3.1962890625 |   615.0935646831125449 |          77 |         117
 t1-x323b-kopia-target                       |      4853 |     46607.938189506531 |         0 |     0.0087890625 |  9834.4382250267231611 |          27 |          66
 t1-x3288-borg-cache                         |         8 |    95.6373510360717773 |         0 |     0.1298828125 |     12241.580932617188 |          63 |         109
 t1-x3288-borg-target                        |       188 |     27184.419579505920 |         0 |     0.0166015625 |    148068.327922415225 |         503 |          41
 t1-x3288-bupstash-cache                     |         3 |    28.5234413146972656 |         0 |               24 |  9736.0013020833333330 |          28 |          48
 t1-x3288-bupstash-target                    |     56963 |     29901.156893730164 |         1 |   202.7705078125 |   537.5205775534941543 |           8 |         101
 t1-x3288-jmbb-target                        |      1498 |     29755.884730339050 |         0 |    20300.4921875 |     20340.471270939378 |         372 |          73
 t1-x3288-kopia-cache                        |      2215 |  1391.2182207107543945 |         1 |      3.232421875 |   643.1636379267776523 |          77 |         117
 t1-x3288-kopia-target                       |      4928 |     47346.248606681824 |         0 |     0.0087890625 |  9838.1815286611581777 |          27 |          66
 t1-x32e1-borg-cache                         |         8 |    90.1740932464599609 |         0 |     0.1298828125 |     11542.283935546875 |          58 |         109
 t1-x32e1-borg-target                        |       194 |     27831.809825897217 |         0 |     0.0166015625 |    146906.047740818301 |         503 |          41
 t1-x32e1-bupstash-cache                     |         3 |    28.8984413146972656 |         0 |               24 |  9864.0013020833333330 |          28 |          48
 t1-x32e1-bupstash-target                    |     57883 |     30531.251506805420 |         1 |    205.134765625 |   540.1240699854663721 |           8 |         101
 t1-x32e1-jmbb-target                        |      1530 |     30475.907241821289 |         0 |      20358.21875 |     20396.947069035948 |         372 |          73
 t1-x32e1-kopia-cache                        |      2222 |  1458.7005090713500977 |         1 |    3.25634765625 |   672.2364182219003154 |          77 |         117
 t1-x32e1-kopia-target                       |      5010 |     48177.179305076599 |         0 |     0.0087890625 |  9846.9923370056761475 |          27 |          66
 t1-x3333-borg-cache                         |         8 |    89.0474672317504883 |         0 |     0.1298828125 |     11398.075805664063 |          57 |         109
 t1-x3333-borg-target                        |       199 |     28342.428292274475 |         0 |     0.0166015625 |    145842.445081854590 |         503 |          41
 t1-x3333-bupstash-cache                     |         3 |    29.1875038146972656 |         0 |               24 |  9962.6679687500000000 |          29 |          48
 t1-x3333-bupstash-target                    |     58771 |     30959.816143989563 |         1 |       203.265625 |   539.4301905947714434 |           8 |         101
 t1-x3333-jmbb-target                        |      1552 |     30995.653824806213 |         0 |    20451.8671875 |     20450.740667913378 |         372 |          73
 t1-x3333-kopia-cache                        |      2231 |  1527.1819591522216797 |         1 |     3.2763671875 |   700.9566679389847598 |          77 |         117
 t1-x3333-kopia-target                       |      5080 |     48784.846888542175 |         0 |     0.0087890625 |  9833.7959082415723428 |          27 |          66
 t1-x338a-borg-cache                         |         8 |    89.6651954650878906 |         0 |     0.1298828125 |     11477.145019531250 |          57 |         109
 t1-x338a-borg-target                        |       205 |     29074.656009674072 |         0 |     0.0166015625 |    145231.452458079268 |         503 |          41
 t1-x338a-bupstash-cache                     |         3 |    29.4335975646972656 |         0 |               24 |     10046.667968750000 |          29 |          48
 t1-x338a-bupstash-target                    |     59905 |     31800.280910491943 |         1 |   208.4775390625 |   543.5854712017986816 |           8 |         101
 t1-x338a-jmbb-target                        |      1606 |     32091.586206436157 |         0 |       20502.3125 |     20461.883110454935 |         372 |          73
 t1-x338a-kopia-cache                        |      2241 |  1603.5029964447021484 |         1 |       3.33984375 |   732.7028417489402051 |          77 |         117
 t1-x338a-kopia-target                       |      5185 |     49787.179622650146 |         0 |     0.0087890625 |  9832.6078946178881387 |          27 |          66
 t1-x33d5-borg-cache                         |         8 |    89.8674678802490234 |         0 |     0.1298828125 |     11503.035888671875 |          58 |         109
 t1-x33d5-borg-target                        |       210 |     29352.233796119690 |         0 |     0.0166015625 |    143127.082891555059 |         503 |          41
 t1-x33d5-bupstash-cache                     |         3 |    29.7968788146972656 |         0 |               24 |     10170.667968750000 |          29 |          48
 t1-x33d5-bupstash-target                    |     60835 |     32209.467490196228 |         1 |     206.29296875 |   542.1631414475373965 |           8 |         101
 t1-x33d5-jmbb-target                        |      1629 |     32561.931549072266 |         0 |    20523.1484375 |     20468.642054174340 |         372 |          73
 t1-x33d5-kopia-cache                        |      2252 |  1692.4574794769287109 |         1 |    3.40380859375 |   769.5721398687277979 |          77 |         117
 t1-x33d5-kopia-target                       |      5252 |     50392.336988449097 |         0 |     0.0087890625 |  9825.1624288217583779 |          27 |          66
 t1-x3436-borg-cache                         |         8 |    90.1391124725341797 |         0 |     0.1298828125 |     11537.806396484375 |          58 |         109
 t1-x3436-borg-target                        |       217 |     30179.806048393250 |         0 |     0.0166015625 |    142415.305961081514 |         503 |          41
 t1-x3436-bupstash-cache                     |         3 |    30.0117225646972656 |         0 |               24 |     10244.001302083333 |          29 |          48
 t1-x3436-bupstash-target                    |     62019 |     33118.648446083069 |         1 |     209.16796875 |   546.8242959220410273 |           8 |         101
 t1-x3436-jmbb-target                        |      1667 |     33489.382410049438 |         0 |    20423.0546875 |     20571.762200294316 |         372 |          73
 t1-x3436-kopia-cache                        |      2260 |  1751.5695676803588867 |         1 |     3.4462890625 |   793.6315209312776553 |          77 |         117
 t1-x3436-kopia-target                       |      5440 |     52176.736083030701 |         0 |     0.0087890625 |  9821.5032626881318936 |          27 |          66
 t1-x3483-borg-cache                         |         8 |    90.2933654785156250 |         0 |     0.1298828125 |     11557.550781250000 |          58 |         109
 t1-x3483-borg-target                        |       223 |     30778.566443443298 |         0 |     0.0166015625 |    141332.968780654424 |         503 |          41
 t1-x3483-bupstash-cache                     |         3 |    30.2500038146972656 |         0 |               24 |     10325.334635416667 |          30 |          48
 t1-x3483-bupstash-target                    |     62801 |     33861.927914619446 |         1 |   211.8466796875 |   552.1347460163104492 |           8 |         101
 t1-x3483-jmbb-target                        |      1706 |     34083.408696174622 |         0 |     20317.265625 |     20458.036638266596 |         372 |          73
 t1-x3483-kopia-cache                        |      2270 |  1820.7936353683471680 |         1 |    3.49169921875 |   821.3624152498623350 |          77 |         117
 t1-x3483-kopia-target                       |      5538 |     53101.319997787476 |         0 |     0.0087890625 |  9818.6622747804938604 |          27 |          66
 t1-x34d7-borg-cache                         |         8 |    90.0240621566772461 |         0 |     0.1298828125 |     11523.079956054688 |          58 |         109
 t1-x34d7-borg-target                        |       228 |     30908.321075439453 |         0 |     0.0166015625 |    138816.319216008770 |         503 |          41
 t1-x34d7-bupstash-cache                     |         3 |    30.4687538146972656 |         0 |               24 |     10400.001302083333 |          30 |          48
 t1-x34d7-bupstash-target                    |     63056 |     33977.732276916504 |         1 |  211.07470703125 |   551.7825084300066611 |           8 |         101
 t1-x34d7-jmbb-target                        |      1717 |     34356.659120559692 |         0 |    20377.0703125 |     20489.935317095588 |         372 |          73
 t1-x34d7-kopia-cache                        |      2279 |  1882.8086948394775391 |         1 |       3.55859375 |   845.9833714416959189 |          77 |         117
 t1-x34d7-kopia-target                       |      5591 |     53535.310158729553 |         0 |     0.0087890625 |  9805.0720090393601328 |          27 |          66
